DIALS 1.dev.75-g8c1986a
The following parameters have been modified:

spotfinder {
  mp {
    nproc = 4
  }
}
input {
  datablock = datablock.json
}

Setting spotfinder.filter.min_spot_size=3
Configuring spot finder from input parameters
--------------------------------------------------------------------------------
Finding strong spots in imageset 0
--------------------------------------------------------------------------------


Finding spots in image 1 to 540...
Extracting strong pixels from images
 Using multiprocessing with 4 parallel job(s)

Found 1494 strong pixels on image 402
Found 1562 strong pixels on image 403
Found 1617 strong pixels on image 404
Found 1508 strong pixels on image 405
Found 1601 strong pixels on image 406
Found 1703 strong pixels on image 407
Found 1665 strong pixels on image 408
Found 1518 strong pixels on image 409
Found 1622 strong pixels on image 410
Found 1580 strong pixels on image 411
Found 1662 strong pixels on image 412
Found 1569 strong pixels on image 413
Found 1544 strong pixels on image 414
Found 1605 strong pixels on image 415
Found 1719 strong pixels on image 416
Found 1641 strong pixels on image 417
Found 1626 strong pixels on image 418
Found 1595 strong pixels on image 419
Found 1667 strong pixels on image 420
Found 1744 strong pixels on image 421
Found 1611 strong pixels on image 422
Found 1608 strong pixels on image 423
Found 1420 strong pixels on image 424
Found 1465 strong pixels on image 425
Found 1474 strong pixels on image 426
Found 1569 strong pixels on image 427
Found 1570 strong pixels on image 428
Found 1449 strong pixels on image 429
Found 1466 strong pixels on image 430
Found 1543 strong pixels on image 431
Found 1516 strong pixels on image 432
Found 1550 strong pixels on image 433
Found 1555 strong pixels on image 434
Found 1611 strong pixels on image 435
Found 1556 strong pixels on image 436
Found 1542 strong pixels on image 437
Found 1502 strong pixels on image 438
Found 1450 strong pixels on image 439
Found 1582 strong pixels on image 440
Found 1555 strong pixels on image 441
Found 1657 strong pixels on image 442
Found 1492 strong pixels on image 443
Found 1513 strong pixels on image 444
Found 1605 strong pixels on image 445
Found 1513 strong pixels on image 446
Found 1484 strong pixels on image 447
Found 1512 strong pixels on image 448
Found 1563 strong pixels on image 449
Found 1435 strong pixels on image 450
Found 1565 strong pixels on image 451
Found 1721 strong pixels on image 452
Found 1558 strong pixels on image 453
Found 1487 strong pixels on image 454
Found 1508 strong pixels on image 455
Found 1548 strong pixels on image 456
Found 1492 strong pixels on image 457
Found 1669 strong pixels on image 458
Found 1539 strong pixels on image 459
Found 1621 strong pixels on image 460
Found 1653 strong pixels on image 461
Found 1672 strong pixels on image 462
Found 1681 strong pixels on image 463
Found 1701 strong pixels on image 464
Found 1572 strong pixels on image 465
Found 1557 strong pixels on image 466
Found 1455 strong pixels on image 467
Found 1525 strong pixels on image 468
Found 1653 strong pixels on image 469
Found 1559 strong pixels on image 470
Found 1602 strong pixels on image 471
Found 1559 strong pixels on image 472
Found 1553 strong pixels on image 473
Found 1564 strong pixels on image 474
Found 1533 strong pixels on image 475
Found 1529 strong pixels on image 476
Found 1631 strong pixels on image 477
Found 1638 strong pixels on image 478
Found 1485 strong pixels on image 479
Found 1463 strong pixels on image 480
Found 1601 strong pixels on image 481
Found 1510 strong pixels on image 482
Found 1529 strong pixels on image 483
Found 1687 strong pixels on image 484
Found 1582 strong pixels on image 485
Found 1614 strong pixels on image 486
Found 1662 strong pixels on image 487
Found 1659 strong pixels on image 488
Found 1517 strong pixels on image 489
Found 1634 strong pixels on image 490
Found 1605 strong pixels on image 491
Found 1575 strong pixels on image 492
Found 1578 strong pixels on image 493
Found 1622 strong pixels on image 494
Found 1642 strong pixels on image 495
Found 1616 strong pixels on image 496
Found 1644 strong pixels on image 497
Found 1618 strong pixels on image 498
Found 1575 strong pixels on image 499
Found 1595 strong pixels on image 500
Found 1695 strong pixels on image 501
Found 1683 strong pixels on image 502
Found 1520 strong pixels on image 503
Found 1591 strong pixels on image 504
Found 1662 strong pixels on image 505
Found 1657 strong pixels on image 506
Found 1617 strong pixels on image 507
Found 1648 strong pixels on image 508
Found 1617 strong pixels on image 509
Found 1538 strong pixels on image 510
Found 1544 strong pixels on image 511
Found 1572 strong pixels on image 512
Found 1547 strong pixels on image 513
Found 1617 strong pixels on image 514
Found 1605 strong pixels on image 515
Found 1675 strong pixels on image 516
Found 1521 strong pixels on image 517
Found 1533 strong pixels on image 518
Found 1520 strong pixels on image 519
Found 1564 strong pixels on image 520
Found 1458 strong pixels on image 521
Found 1422 strong pixels on image 522
Found 1474 strong pixels on image 523
Found 1632 strong pixels on image 524
Found 1513 strong pixels on image 525
Found 1607 strong pixels on image 526
Found 1482 strong pixels on image 527
Found 1524 strong pixels on image 528
Found 1536 strong pixels on image 529
Found 1545 strong pixels on image 530
Found 1576 strong pixels on image 531
Found 1551 strong pixels on image 532
Found 1605 strong pixels on image 533
Found 1537 strong pixels on image 534
Found 1627 strong pixels on image 535
Found 1521 strong pixels on image 536
Found 1503 strong pixels on image 537
Found 1539 strong pixels on image 538
Found 1431 strong pixels on image 539
Found 1541 strong pixels on image 540

Extracted 219125 spots
Removed 102885 spots with size < 3 or > 100 pixels
Calculated 116240 spot centroids
Calculated 116240 spot intensities
Filtered 116048 of 116240 spots by peak-centroid distance

Histogram of per-image spot count for imageset 0:
116048 spots found on 540 images (max 2082 / bin)
  *  *   *                     *    * * *  * **           * 
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
************************************************************
1                         image                          540

--------------------------------------------------------------------------------
Saved 116048 reflections to strong.pickle
Time Taken: 59.798505
